Phone_Number,State,Account_Length,Area_Code,International_Plan,Voice_Mail_Plan,Number_Vmail_Messages,Total_Day_Minutes,Total_Day_Calls,Total_Day_Charge,Total_Eve_Minutes,Total_Eve_Calls,Total_Eve_Charge,Total_Night_Minutes,Total_Night_Calls,Total_Night_Charge,Total_Intl_Minutes,Total_Intl_Calls,Total_Intl_Charge,Customer_Service_Calls,Churn
410-7108,FL,64,C408,No,Yes,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9,1,2.43,3,No
419-1674,WV,44,C510,No,No,0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,Yes
351-7369,SD,114,C415,No,Yes,36,309.9,90,52.68,200.3,89,17.03,183.5,105,8.26,14.2,2,3.83,1,No
349-9566,FL,92,C415,No,No,0,201.9,74,34.32,226.8,119,19.28,217.5,80,9.79,13.7,6,3.7,3,No
333-3421,OR,110,C408,No,No,0,149.8,112,25.47,180,93,15.3,140,119,6.3,11.7,4,3.16,2,No
393-8199,CO,90,C408,No,Yes,30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,3,2.08,1,No
388-4879,CT,72,C408,No,Yes,21,186.7,108,31.74,335,86,28.48,187.2,119,8.42,16.5,4,4.46,1,No
353-6007,IN,113,C415,No,No,0,209.4,151,35.6,347.3,113,29.52,246,116,11.07,7.4,2,2,1,Yes
416-1557,PA,171,C415,No,Yes,25,223.2,77,37.94,183.2,118,15.57,150.8,90,6.79,10.2,3,2.75,3,No
356-7217,NM,104,C415,No,No,0,164.2,109,27.91,155.4,90,13.21,168.9,117,7.6,10.7,8,2.89,1,No
350-2012,ME,165,C408,No,No,0,150.5,75,25.59,193.1,93,16.41,311.6,93,14.02,10.3,2,2.78,1,No
420-9838,SD,104,C510,No,No,0,234.2,128,39.81,293.1,92,24.91,183.9,79,8.28,9.8,6,2.65,0,Yes
373-6379,AR,110,C408,No,No,0,55.3,102,9.4,164.7,124,14,200.7,108,9.03,10.2,5,2.75,1,No
355-7293,TX,90,C408,Yes,No,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,8.4,4,2.27,1,No
406-4588,NH,114,C415,No,No,0,169.6,85,28.83,58.9,86,5.01,179.3,124,8.07,7.4,8,2,1,No
345-1524,OK,101,C408,No,No,0,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,Yes
375-8493,WI,117,C408,No,Yes,14,80.2,81,13.63,219,103,18.62,122.6,102,5.52,8.6,2,2.32,1,No
361-2924,AL,109,C408,No,No,0,218.9,105,37.21,299.9,87,25.49,158.6,110,7.14,11.3,4,3.05,2,No
359-6163,PA,82,C408,No,No,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1,No
411-8140,OK,92,C510,No,No,0,176.3,85,29.97,93.4,125,7.94,207.2,107,9.32,9.6,1,2.59,2,No
381-9049,ME,82,C510,No,Yes,29,207.2,111,35.22,254.1,137,21.6,169.3,92,7.62,9.5,5,2.57,2,No
344-4478,WV,90,C415,No,No,0,205.7,138,34.97,161.9,83,13.76,269.7,104,12.14,12.5,6,3.38,2,No
360-2690,HI,87,C408,No,Yes,28,151.4,95,25.74,152.4,97,12.95,250.1,109,11.25,0,0,0,1,No
410-7383,MN,124,C510,No,No,0,157.5,70,26.78,130.7,79,11.11,193.4,98,8.7,9.6,4,2.59,3,No
356-1889,NY,39,C408,No,No,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,No
341-2360,AZ,84,C415,No,No,0,159,80,27.03,167.9,128,14.27,167.6,101,7.54,12.3,5,3.32,1,No
370-3021,OH,75,C510,No,Yes,46,214.1,62,36.4,200.9,111,17.08,246.8,126,11.11,9.2,6,2.48,0,No
336-4656,MI,102,C510,No,No,0,102.6,89,17.44,246,77,20.91,170.5,140,7.67,9.1,4,2.46,2,No
386-2810,MA,62,C415,Yes,No,0,159.7,86,27.15,197.5,76,16.79,121.6,105,5.47,13.9,6,3.75,0,Yes
350-1354,WV,143,C510,No,No,0,202.8,109,34.48,165.8,104,14.09,143.9,71,6.48,4.6,4,1.24,1,No
346-5707,MI,53,C415,No,No,0,57.5,95,9.78,265.5,131,22.57,244.3,128,10.99,11.6,6,3.13,3,No
405-8370,NM,30,C415,No,No,0,169.9,144,28.88,225.2,118,19.14,169.7,93,7.64,11.4,7,3.08,1,No
373-2053,MO,112,C415,No,No,0,335.5,77,57.04,212.5,109,18.06,265,132,11.93,12.7,8,3.43,2,Yes
369-5222,RI,129,C415,No,No,0,139.5,119,23.72,289.3,105,24.59,129.4,97,5.82,13.1,8,3.54,0,No
347-7420,NC,63,C415,No,Yes,29,142.3,107,24.19,118.7,56,10.09,240.1,91,10.8,6.6,8,1.78,1,No
392-6856,WY,28,C415,No,No,0,187.8,94,31.93,248.6,86,21.13,208.8,124,9.4,10.6,5,2.86,0,No
371-5556,WY,111,C415,No,No,0,146.2,55,24.85,261.5,83,22.23,163.2,116,7.34,8.7,3,2.35,3,No
334-5337,PA,91,C510,No,No,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,No
334-8817,KY,90,C415,No,No,0,193.7,83,32.93,154.2,79,13.11,299,60,13.46,12.7,3,3.43,1,No
339-1405,OR,151,C510,No,No,0,156.4,108,26.59,233.4,118,19.84,195.7,141,8.81,7.7,6,2.08,4,No
380-7742,NV,105,C415,Yes,Yes,29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,Yes
329-6191,DC,41,C408,No,Yes,37,239.8,110,40.77,221.9,115,18.86,189.1,100,8.51,7.3,1,1.97,2,No
340-3075,UT,48,C510,No,Yes,43,172,111,29.24,200.2,64,17.02,233.1,96,10.49,8,5,2.16,1,No
416-5849,WA,166,C408,Yes,Yes,35,128.2,138,21.79,274.5,113,23.33,298.9,130,13.45,8.8,7,2.38,2,No
334-7443,FL,79,C510,No,No,0,130.2,119,22.13,290.9,121,24.73,194.8,140,8.77,14,6,3.78,3,No
394-9121,VA,153,C510,No,No,0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,No
383-1657,KS,110,C415,Yes,No,0,293.3,79,49.86,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,Yes
347-4112,KS,163,C415,No,No,0,191.3,89,32.52,193.9,87,16.48,268.4,121,12.08,12.8,4,3.46,1,No
362-8280,DC,126,C510,No,No,0,122.4,88,20.81,143.8,111,12.22,157,106,7.07,11.5,3,3.11,1,No
402-9982,ME,105,C408,No,Yes,33,209.6,68,35.63,146.9,140,12.49,121,131,5.44,10.6,3,2.86,2,No
392-8905,LA,172,C415,No,No,0,215.7,140,36.67,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,No
392-5512,DC,126,C415,No,No,0,161.4,110,27.44,220.6,125,18.75,249.2,78,11.21,5.1,2,1.38,0,No
351-6384,TX,97,C510,No,No,0,144.2,91,24.51,226.7,137,19.27,144.6,72,6.51,13.8,4,3.73,3,No
348-8015,NJ,95,C408,Yes,Yes,37,220.2,109,37.43,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,0,Yes
374-6966,DE,87,C510,No,No,0,256.2,105,43.55,160.7,102,13.66,249.4,80,11.22,7.4,2,2,4,No
328-2236,VT,97,C415,No,No,0,112.7,119,19.16,217.7,109,18.5,152.1,76,6.84,6.5,5,1.76,1,No
372-6497,GA,76,C415,No,No,0,299.5,125,50.92,226.7,92,19.27,210.7,134,9.48,13.7,4,3.7,0,Yes
417-8617,TX,140,C408,No,No,0,194.8,107,33.12,170.9,99,14.53,225.1,93,10.13,13.9,4,3.75,0,No
361-9621,MT,169,C415,No,No,0,100.8,112,17.14,230,69,19.55,193.6,95,8.71,9.5,2,2.57,0,No
421-2723,ND,68,C408,No,Yes,22,82.5,97,14.03,289.9,94,24.64,180,114,8.1,4.8,4,1.3,3,No
327-9341,NJ,122,C415,No,Yes,34,146.4,104,24.89,89.7,103,7.62,220,91,9.9,15.6,4,4.21,2,No
383-5474,MO,36,C408,No,No,0,177.9,129,30.24,224.6,87,19.09,306.3,102,13.78,10.8,6,2.92,2,No
328-8147,CO,120,C510,No,Yes,27,153.5,84,26.1,194,73,16.49,256.5,94,11.54,10.2,7,2.75,5,No
373-5438,KS,121,C408,No,No,0,150.7,105,25.62,197.3,133,16.77,169,116,7.61,9.2,15,2.48,1,No
333-9253,NC,64,C408,No,Yes,19,180.1,106,30.62,127.5,92,10.84,237.4,118,10.68,7.5,3,2.03,0,No
347-9421,MT,13,C415,No,Yes,31,265.3,94,45.1,147.6,95,12.55,259.3,117,11.67,12.9,1,3.48,1,No
419-3167,DE,106,C415,No,No,0,128.6,83,21.86,134,114,11.39,210.6,113,9.48,11.4,2,3.08,0,No
414-4162,ND,88,C415,No,No,0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,No
416-5341,VA,74,C408,No,No,0,165.3,120,28.1,198.5,106,16.87,208.5,102,9.38,9.8,3,2.65,1,No
368-8600,IL,83,C415,No,No,0,195,92,33.15,210.5,83,17.89,180.6,92,8.13,11,13,2.97,0,No
336-6085,OK,49,C415,No,No,0,213.8,79,36.35,265.1,93,22.53,239.8,128,10.79,15.6,7,4.21,0,No
377-1479,CO,111,C510,No,Yes,24,205.5,114,34.94,219.3,99,18.64,215.9,95,9.72,14,4,3.78,1,No
360-2107,MT,50,C415,No,Yes,22,252.9,112,42.99,177.9,99,15.12,158.4,146,7.13,8.5,4,2.3,3,No
405-9384,WV,153,C408,No,Yes,28,235.6,74,40.05,227.9,37,19.37,170.3,103,7.66,15.4,9,4.16,0,No
420-5179,ME,88,C415,No,No,0,192,91,32.64,127.6,127,10.85,155.6,125,7,7.5,5,2.03,1,No
331-3174,WI,131,C415,No,Yes,39,69.1,122,11.75,101.3,136,8.61,104.8,94,4.72,9.1,4,2.46,0,No
411-5958,MO,79,C408,No,No,0,261.7,97,44.49,210.6,48,17.9,256.7,83,11.55,6,3,1.62,3,Yes
333-8180,NY,140,C415,No,No,0,235.5,81,40.04,257.2,130,21.86,103.1,111,4.64,11.5,4,3.11,2,No
357-2679,CT,105,C408,No,No,0,213.4,100,36.28,204.9,52,17.42,179.7,93,8.09,9.5,6,2.57,1,No
396-2867,AR,54,C415,No,Yes,39,206.9,143,35.17,127.8,72,10.86,199.2,120,8.96,9.2,1,2.48,3,No
341-9443,WY,87,C415,No,Yes,22,263.8,65,44.85,103.4,115,8.79,208.1,109,9.36,8.5,3,2.3,3,No
341-4103,CA,96,C510,No,Yes,31,183.4,126,31.18,195.5,106,16.62,180.1,93,8.1,10.5,5,2.84,1,No
416-8701,CA,79,C510,No,No,0,157.6,85,26.79,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54,5,Yes
397-6109,MN,55,C415,No,No,0,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,No
392-5587,AK,130,C415,No,No,0,242.5,101,41.23,102.8,114,8.74,142.4,89,6.41,9.3,2,2.51,2,No
392-9342,VA,34,C415,No,No,0,151,102,25.67,131.4,101,11.17,186.6,86,8.4,9.9,7,2.67,0,No
368-2845,CO,139,C415,No,No,0,138.1,103,23.48,164.5,100,13.98,134.9,63,6.07,8.3,2,2.24,1,No
405-4920,MT,109,C408,No,No,0,264.7,69,45,305,120,25.93,197.4,86,8.88,9.5,9,2.57,1,Yes
348-7484,SD,65,C408,No,Yes,31,282.3,70,47.99,152,89,12.92,225.5,93,10.15,12,4,3.24,1,No
338-5207,NE,63,C415,No,No,0,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0,No
418-7846,VT,152,C415,No,No,0,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,7.4,4,2,3,No
358-8729,ND,147,C408,No,No,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,No
349-1943,GA,112,C415,No,Yes,22,181.8,110,30.91,228.1,123,19.39,262.7,141,11.82,9.2,4,2.48,2,No
368-8283,OR,120,C415,No,No,0,252,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,No
345-1419,MT,27,C510,No,No,0,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,No
358-8025,WY,171,C415,No,No,0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,No
383-8695,GA,101,C415,No,Yes,33,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0,No
370-7565,WV,32,C408,No,Yes,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1,No
401-6162,CT,3,C415,No,Yes,36,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,No
386-5303,IL,151,C408,No,No,0,175.3,106,29.8,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19,0,No
351-6552,CO,60,C408,No,No,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3,No
345-5338,DE,119,C415,No,No,0,176.8,90,30.06,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03,1,No
330-2849,LA,43,C415,No,No,0,241.9,101,41.12,129.4,121,11,264.8,104,11.92,5.9,3,1.59,1,No
364-6801,MA,42,C408,No,No,0,241.2,134,41,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86,0,No
375-3003,IN,84,C408,No,No,0,217.1,99,36.91,236,68,20.06,118.3,120,5.32,9.4,4,2.54,1,No
383-8878,NY,65,C510,No,No,0,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4,0,No
384-2372,TX,75,C415,Yes,No,0,222.4,78,37.81,327,111,27.8,208,104,9.36,8.7,9,2.35,1,Yes
377-7107,KS,116,C510,No,No,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,No
361-1581,WV,107,C415,No,No,0,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,No
417-7888,NE,189,C415,No,Yes,38,256.7,98,43.64,150.5,120,12.79,123,87,5.54,11.4,3,3.08,3,No
383-8364,ND,123,C408,No,No,0,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,No
396-2335,AK,110,C408,No,No,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3,3,No
408-4530,CO,63,C415,No,Yes,32,30.9,113,5.25,187,113,15.9,230.8,101,10.39,8.6,7,2.32,1,No
408-6621,ME,176,C415,No,No,0,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,No
393-7522,SC,108,C510,No,No,0,187.4,101,31.86,199.9,126,16.99,216.1,107,9.72,12.6,8,3.4,1,No
338-7120,MN,13,C510,No,Yes,21,315.6,105,53.65,208.9,71,17.76,260.1,123,11.7,12.1,3,3.27,3,No
357-4265,CO,71,C415,No,No,0,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21,1,No
398-8801,KS,88,C415,No,No,0,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,No
346-2347,MS,137,C510,No,No,0,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,No
343-2741,NE,82,C408,No,No,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,No
420-8242,NJ,92,C510,No,Yes,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8,4,2.16,3,No
402-7746,WI,165,C510,No,No,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6,No
332-1494,MT,96,C415,No,No,0,97.6,98,16.59,105.5,118,8.97,220.2,105,9.91,11.6,9,3.13,1,No
388-6223,AR,156,C415,No,No,0,178.8,94,30.4,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03,1,No
404-9539,WA,63,C408,No,No,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,No
341-7332,NH,37,C415,No,No,0,206,89,35.02,186,88,15.81,307.1,86,13.82,8.4,11,2.27,0,No
338-7886,IA,98,C415,No,No,0,216.8,86,36.86,190.8,114,16.22,187.5,79,8.44,11,9,2.97,0,No
332-5596,WV,121,C415,No,No,0,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0,No
348-9945,RI,94,C415,No,No,0,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0,No
407-1896,KS,99,C415,No,No,0,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1,No
398-9408,MT,163,C510,No,Yes,23,160,104,27.2,189.4,64,16.1,229.9,118,10.35,10.4,7,2.81,1,No
369-8005,MO,161,C510,No,No,0,221.7,95,37.69,193,82,16.41,194.1,113,8.73,6.5,4,1.76,3,No
346-2530,HI,99,C415,No,No,0,62.9,81,10.69,231,64,19.64,168.9,121,7.6,8.5,5,2.3,1,No
400-5984,CO,108,C415,No,No,0,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,No
351-1007,CT,84,C510,No,Yes,42,165.3,97,28.1,223.5,118,19,260.8,72,11.74,7.6,7,2.05,3,No
345-5980,ID,83,C415,Yes,Yes,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2,No
368-8964,DC,139,C510,No,No,0,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62,2,No
358-1912,TN,69,C510,No,No,0,195.3,70,33.2,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38,3,No
379-3132,WY,129,C510,No,No,0,143.7,114,24.43,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08,4,No
340-9910,MO,106,C415,No,No,0,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0,0,0,2,No
396-2719,VA,158,C415,No,No,0,222.8,101,37.88,203,128,17.26,210.6,106,9.48,6.9,2,1.86,2,No
369-6204,SD,168,C415,No,Yes,22,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2,No
420-9971,WV,115,C510,Yes,No,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,Yes
410-3782,GA,57,C408,Yes,Yes,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,No
404-4481,AZ,67,C415,No,No,0,210.7,116,35.82,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94,1,No
383-9255,AK,127,C408,No,No,0,182.3,124,30.99,169.9,110,14.44,184,116,8.28,9.3,3,2.51,1,No
418-9385,AK,78,C510,No,No,0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2,No
360-9676,CT,100,C415,No,Yes,38,177.1,88,30.11,163.7,108,13.91,242.7,72,10.92,7.4,2,2,0,No
327-3587,UT,103,C510,No,Yes,36,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,6,Yes
385-4715,KY,113,C415,No,No,0,215.6,96,36.65,193.4,127,16.44,105.4,115,4.74,13.5,3,3.65,1,No
414-2695,MI,78,C510,No,No,0,137.4,109,23.36,237.6,49,20.2,206.7,136,9.3,14,11,3.78,3,No
331-5999,OR,129,C510,No,Yes,36,192.8,103,32.78,177,83,15.05,216.5,118,9.74,16.4,5,4.43,1,No
337-7739,TN,57,C510,No,No,0,149.3,100,25.38,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2,No
388-6658,WV,82,C408,No,No,0,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,No
405-6943,NJ,64,C415,No,No,0,224.8,111,38.22,190,101,16.15,221.4,110,9.96,9.2,2,2.48,1,No
382-4084,MS,86,C510,No,Yes,39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,No
352-8249,ME,151,C415,No,Yes,26,196.5,98,33.41,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62,0,No
353-8363,WY,94,C510,No,No,0,271.2,105,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,Yes
416-2825,WY,90,C415,No,No,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8,1,2.16,2,No
342-6696,IN,48,C510,No,No,0,300.4,94,51.07,133.2,103,11.32,197.4,94,8.88,7.2,5,1.94,2,No
338-9210,NM,85,C408,No,Yes,37,229.6,123,39.03,132.3,90,11.25,211.9,76,9.54,9.5,8,2.57,2,No
328-1768,NJ,93,C415,Yes,Yes,20,187.5,110,31.88,169.8,94,14.43,175.3,127,7.89,12.1,4,3.27,1,No
406-5870,DC,169,C415,Yes,No,0,57.1,98,9.71,199.7,78,16.97,274.7,103,12.36,6.5,6,1.76,3,No
398-3834,UT,68,C415,No,No,0,162.1,86,27.56,155,86,13.18,189.7,87,8.54,11,9,2.97,5,Yes
330-7754,KY,91,C415,Yes,No,0,145,89,24.65,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51,2,Yes
414-9054,KS,68,C510,No,No,0,159.5,123,27.12,240.8,93,20.47,210.3,76,9.46,11.4,3,3.08,1,No
350-2832,MI,101,C510,No,No,0,190.7,72,32.42,208.6,103,17.73,203.8,111,9.17,8.8,8,2.38,1,No
414-9027,UT,67,C510,No,Yes,20,230.6,40,39.2,189.1,58,16.07,162.2,115,7.3,9.4,2,2.54,1,No
337-1225,NE,66,C415,No,No,0,34,133,5.78,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11,0,No
394-6577,FL,116,C415,No,Yes,17,193.4,112,32.88,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08,5,No
359-6995,LA,158,C408,No,No,0,202,126,34.34,163.5,86,13.9,195.4,84,8.79,10.4,6,2.81,1,No
377-7561,MT,78,C415,No,No,0,191.7,122,32.59,241.4,88,20.52,203.5,86,9.16,9.1,5,2.46,1,No
380-6631,WA,119,C415,No,Yes,26,161.3,97,27.42,250.3,110,21.28,142.4,92,6.41,6.6,8,1.78,1,No
390-8876,MI,120,C415,No,No,0,150.6,85,25.6,119,128,10.12,232.9,123,10.48,6.4,2,1.73,1,No
413-2201,KY,155,C510,No,No,0,184.6,102,31.38,196,117,16.66,226.5,122,10.19,7.8,1,2.11,1,No
374-2073,LA,106,C408,No,No,0,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1,No
417-1272,NM,87,C510,Yes,No,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11,6,2.97,1,No
358-1129,AL,146,C415,No,Yes,32,154,80,26.18,185.5,91,15.77,148.2,107,6.67,8.2,4,2.21,3,No
394-1211,MO,101,C415,No,Yes,29,121.1,116,20.59,186.4,100,15.84,241.7,75,10.88,10.1,6,2.73,0,No
327-1319,CO,22,C510,No,Yes,23,182.1,94,30.96,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43,3,No
399-4413,TX,90,C415,No,No,0,109.6,88,18.63,137.6,108,11.7,159.7,121,7.19,11,5,2.97,2,No
393-9985,NY,41,C415,No,No,0,209.9,105,35.68,121.9,105,10.36,253.7,104,11.42,9.6,4,2.59,1,No
401-8377,OR,69,C415,No,No,0,167.5,76,28.48,242.1,92,20.58,101.2,103,4.55,11.4,4,3.08,2,No
331-3202,WY,33,C415,No,No,0,213.9,88,36.36,239.8,119,20.38,148.7,71,6.69,9.8,14,2.65,2,No
358-5953,UT,112,C415,No,No,0,115.8,108,19.69,243.3,111,20.68,184.6,78,8.31,13.1,5,3.54,1,No
380-7624,LA,108,C510,No,Yes,30,276.6,99,47.02,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65,2,No
416-5261,NV,136,C415,No,Yes,21,179.4,88,30.5,181.1,97,15.39,320.7,120,14.43,9.5,4,2.57,2,No
417-5067,NC,128,C510,No,No,0,187.3,84,31.84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73,1,No
345-6515,NC,27,C408,No,No,0,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2,No
406-1349,WY,161,C415,Yes,No,0,189.6,78,32.23,267.4,117,22.73,184.5,137,8.3,1.3,6,0.35,1,No
360-9038,TN,33,C415,No,Yes,35,186.8,124,31.76,261,69,22.19,317.8,103,14.3,15,5,4.05,0,No
348-3444,FL,120,C415,No,Yes,31,153.5,83,26.1,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08,0,No
370-2892,CA,113,C415,No,No,0,187.6,97,31.89,208.2,118,17.7,158.9,101,7.15,8.7,6,2.35,2,No
383-4061,PA,122,C415,Yes,No,0,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11,2,2.97,0,Yes
391-7937,WV,148,C415,No,Yes,26,244.9,150,41.63,118,138,10.03,236,91,10.62,15.2,4,4.1,2,No
389-4083,NJ,74,C415,No,No,0,230.9,93,39.25,223,78,18.96,157.8,101,7.1,9.7,2,2.62,3,No
410-9633,MT,106,C415,No,No,0,187.1,104,31.81,250.2,117,21.27,144.9,81,6.52,11,3,2.97,1,No
418-9502,MN,179,C415,No,No,0,170.7,54,29.02,191.1,108,16.24,214.6,107,9.66,13.3,4,3.59,1,No
339-6637,WI,149,C415,Yes,Yes,28,126.9,97,21.57,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38,5,Yes
356-3403,ID,77,C510,No,No,0,189.5,112,32.22,207,95,17.6,214.1,91,9.63,9.2,7,2.48,0,No
371-9457,MA,127,C408,Yes,No,0,176.9,110,30.07,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08,1,Yes
391-8087,OR,80,C415,No,No,0,161.1,99,27.39,198.8,81,16.9,228.4,116,10.28,10.6,4,2.86,1,No
392-6420,MT,106,C510,No,No,0,169.4,107,28.8,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89,1,No
399-4094,AL,61,C415,No,Yes,20,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0,No
378-4013,ND,135,C510,Yes,Yes,24,127.7,54,21.71,215,105,18.28,234.3,84,10.54,5.8,4,1.57,2,No
386-6306,LA,115,C415,No,Yes,26,170.5,107,28.99,217.2,77,18.46,225.7,71,10.16,13.6,5,3.67,6,No
359-3618,ND,167,C408,Yes,No,0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,No
340-8875,MS,107,C510,Yes,No,0,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11,9,2.97,2,No
330-2693,WV,112,C415,Yes,No,0,161.9,138,27.52,200.9,114,17.08,134,134,6.03,10.7,4,2.89,1,No
403-7627,WI,35,C510,No,Yes,27,241.7,87,41.09,142,101,12.07,288.9,68,13,9.4,4,2.54,1,No
342-3678,KS,103,C408,Yes,No,0,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,9.4,4,2.54,3,No
344-9943,MO,107,C415,No,Yes,22,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1,No
390-5686,PA,69,C415,No,No,0,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89,3,No
358-5826,SD,85,C408,No,No,0,209.8,82,35.67,194.5,94,16.53,200.4,85,9.02,11.3,3,3.05,0,No
393-7826,NJ,24,C408,No,No,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3,2,Yes
335-9786,AL,90,C415,No,No,0,214.9,97,36.53,117.8,117,10.01,133.7,78,6.02,11.8,2,3.19,2,No
368-9860,ME,137,C510,No,No,0,110.5,79,18.79,223.2,111,18.97,169.5,64,7.63,10.5,3,2.84,3,No
416-9522,AZ,92,C415,Yes,Yes,45,281.1,88,47.79,198,103,16.83,94.3,76,4.24,7.5,3,2.03,0,No
